sample	library	platform	lane	sample_id	fq1	path1	fq2	path2
23N00421	plate1	NOVASEQ	4	23N00421	data/fastqs/Z23N00421/Z23N00421_CKDL230023567-1A_HGLGKDSX7_L4_1.fq.gz	Z23N00421_CKDL230023567-1A_HGLGKDSX7_L4_1.fq.gz	data/fastqs/Z23N00421/Z23N00421_CKDL230023567-1A_HGLGKDSX7_L4_2.fq.gz	Z23N00421_CKDL230023567-1A_HGLGKDSX7_L4_2.fq.gz
23N00422	plate1	NOVASEQ	4	23N00422	data/fastqs/Z23N00422/Z23N00422_CKDL230023567-1A_HGLGKDSX7_L4_1.fq.gz	Z23N00422_CKDL230023567-1A_HGLGKDSX7_L4_1.fq.gz	data/fastqs/Z23N00422/Z23N00422_CKDL230023567-1A_HGLGKDSX7_L4_2.fq.gz	Z23N00422_CKDL230023567-1A_HGLGKDSX7_L4_2.fq.gz
23N00423	plate1	NOVASEQ	4	23N00423	data/fastqs/Z23N00423/Z23N00423_CKDL230023567-1A_HGLGKDSX7_L4_1.fq.gz	Z23N00423_CKDL230023567-1A_HGLGKDSX7_L4_1.fq.gz	data/fastqs/Z23N00423/Z23N00423_CKDL230023567-1A_HGLGKDSX7_L4_2.fq.gz	Z23N00423_CKDL230023567-1A_HGLGKDSX7_L4_2.fq.gz
23N00424	plate1	NOVASEQ	4	23N00424	data/fastqs/Z23N00424/Z23N00424_CKDL230023567-1A_HGLGKDSX7_L4_1.fq.gz	Z23N00424_CKDL230023567-1A_HGLGKDSX7_L4_1.fq.gz	data/fastqs/Z23N00424/Z23N00424_CKDL230023567-1A_HGLGKDSX7_L4_2.fq.gz	Z23N00424_CKDL230023567-1A_HGLGKDSX7_L4_2.fq.gz
23N00425	plate1	NOVASEQ	4	23N00425	data/fastqs/Z23N00425/Z23N00425_CKDL230023567-1A_HGLGKDSX7_L4_1.fq.gz	Z23N00425_CKDL230023567-1A_HGLGKDSX7_L4_1.fq.gz	data/fastqs/Z23N00425/Z23N00425_CKDL230023567-1A_HGLGKDSX7_L4_2.fq.gz	Z23N00425_CKDL230023567-1A_HGLGKDSX7_L4_2.fq.gz
23N00426	plate1	NOVASEQ	4	23N00426	data/fastqs/Z23N00426/Z23N00426_CKDL230023567-1A_HGLGKDSX7_L4_1.fq.gz	Z23N00426_CKDL230023567-1A_HGLGKDSX7_L4_1.fq.gz	data/fastqs/Z23N00426/Z23N00426_CKDL230023567-1A_HGLGKDSX7_L4_2.fq.gz	Z23N00426_CKDL230023567-1A_HGLGKDSX7_L4_2.fq.gz
23N00427	plate1	NOVASEQ	4	23N00427	data/fastqs/Z23N00427/Z23N00427_CKDL230023567-1A_HGLGKDSX7_L4_1.fq.gz	Z23N00427_CKDL230023567-1A_HGLGKDSX7_L4_1.fq.gz	data/fastqs/Z23N00427/Z23N00427_CKDL230023567-1A_HGLGKDSX7_L4_2.fq.gz	Z23N00427_CKDL230023567-1A_HGLGKDSX7_L4_2.fq.gz
23N00428	plate1	NOVASEQ	4	23N00428	data/fastqs/Z23N00428/Z23N00428_CKDL230023567-1A_HGLGKDSX7_L4_1.fq.gz	Z23N00428_CKDL230023567-1A_HGLGKDSX7_L4_1.fq.gz	data/fastqs/Z23N00428/Z23N00428_CKDL230023567-1A_HGLGKDSX7_L4_2.fq.gz	Z23N00428_CKDL230023567-1A_HGLGKDSX7_L4_2.fq.gz
23N00429	plate1	NOVASEQ	4	23N00429	data/fastqs/Z23N00429/Z23N00429_CKDL230023567-1A_HGLGKDSX7_L4_1.fq.gz	Z23N00429_CKDL230023567-1A_HGLGKDSX7_L4_1.fq.gz	data/fastqs/Z23N00429/Z23N00429_CKDL230023567-1A_HGLGKDSX7_L4_2.fq.gz	Z23N00429_CKDL230023567-1A_HGLGKDSX7_L4_2.fq.gz
